undiacritized	diacritized
Moses Ọlafare, akọwe iroyin Ọọniriṣa ti ni kawọn oniroyin da ahesọ naa nu, o ni ko sootọ ọrọ ninu rumọọsi ti wọn n gbe kiri naa.	Moses Ọláfare, akọ̀wé ìròyìn Ọọ̀niríṣá ti ní káwọn oníròyìn da àhesọ náà nù, ó ní kò sóòtọ́ ọ̀rọ̀ nínú rúmọ́ọ́sì tí wọ́n ń gbé kiri náà.
Mi o ni fesi sọrọ tỌbasanjọ sọ si mi bayii  Gani Adams	Mi ò ní fèsì sọ́rọ̀ t’Ọ́básanjọ́ sọ sí mi báyìí – Gàní Adams
Laide Gold	Láídé Gold
Lọsẹ to kọja yii ni Aarẹ orilẹ-ede yii tẹlẹ, Oloye Oluṣẹgun Ọbasanjọ fopin si ahesọ ọrọ tawọn kan n gbe pooyi ẹnu kiri lati ọsẹ to kọja pe oun ti pari ija ọlọdun pipẹ to wa laarin rẹ ati Iba Gani Adams Aarẹ Ọna Kakanfọ.	Lọ́sẹ̀ tó kọjá yìí ni Ààrẹ orílẹ̀-èdè yìí tẹ́lẹ̀, Olóyè Olúṣẹ́gun Ọbásanjọ́ fòpin sí àhesọ ọ̀rọ̀ táwọn kan ń gbé pòòyì ẹnu kiri láti ọ̀sẹ̀ tó kọjá pé òuń ti parí ìjà ọlọ́dún pípẹ́ tó wà láàrín rẹ̀ àti Iba Gàní Adams Ààrẹ Ọ̀nà Kakaǹfọ̀.
Ẹbọra Owu sọ pe, ko yẹ kawọn eeyan maa pọn nnkan ti ko ṣe e pọnle kọja bo ti yẹ toripe ko sija laarin awọn mejeeji, o kan jẹ pe iṣesi ati Ihuwasi rẹ ni ko wu oun bo ti wu ko kere mọ.	Ẹbọra Òwu sọ pé, kò yẹ káwọn èèyàn máa pọ́n nǹkan tí kò ṣe é pọ́nlé kọjá bó ti yẹ torípé kò síjà láàrín àwọn méjèèjì, ó kàn jẹ́ pé ìṣesí àti Ìhùwàsí rẹ̀ ni kò wu òun bó ti wù kó kéré mọ.
Iroyin to ja rain lọsẹ to kọja naa gba igboro kan pe Baba Iyabọ ti pada ba Gani Adams pari ija to ti n lọ laarin awọn mejeeji fun ọdun mẹẹẹdogun gbako, wọn ni ipade ipẹtusija naa waye nile Oloye Ayọ Adebanjọ niluu Eko.	Ìròyìn tó jà ràiǹ lọ́sẹ̀ tó kọjá náà gba ìgboro kan pé Bàbá Ìyábọ̀ ti padà bá Gàní Adams parí ìjà tó ti ń lọ láàrín àwọn méjèèjì fún ọdún mẹ́ẹ̀ẹ́dógún gbáko, wọ́n ni ìpàdé ìpẹ̀tùsíjà náà wáyé nílé Olóyè Ayọ̀ Adébánjọ nílùú Èkó.
Bawọn eeyan ṣe n sọ pe iru igbesẹ naa dara toripe ni bayii iṣokan lo yẹ ki gbogbo ọmọ Yoruba maa wa, bi onikaluku ba wa ni irẹpọ ni nnkan taa n fẹ yoo to wa lọwọ ṣugbọn ajaabalẹ ni ẹbọra owu fọrọ ọhun ṣe ninu atẹjade kan ti alakoso ọrọ iroyin rẹ Kẹhinde Akinyẹmi fi sita lo ti pe akiyesi awọn eeyan si ohun to ṣẹlẹ gangan nile Oloye naa.	Báwọn èèyàn ṣe ń sọ pé irú ìgbésẹ̀ náà dára torípé ní báyìí ìṣòkan ló yẹ kí gbogbo ọmọ Yorùbá máa wá, bí oníkálùkù bá wà ní ìrẹ́pọ̀ ni nǹkan táa ń fẹ́ yóò tó wa lọ́wọ́ ṣùgbọ́n àjáàbalẹ̀ ni ẹbọra òwu fọ̀rọ̀ ọ̀hún ṣe nínú àtẹ̀jáde kan tí alákóso ọ̀rọ̀ ìròyìn rẹ̀ Kẹ́hìndé Akínyẹmí fi síta ló ti pe àkíyèsí àwọn èèyàn sí ohun tó ṣẹlẹ̀ gangan nílé Olóyè náà.
Oloye Oluṣẹgun Ọbasanjọ ṣalaye ninu atẹjade naa pe Loooto ni mo lọọ ṣabẹwo si Oloye Ayọ Adebanjọ nile rẹ to wa ni Lẹkki Phase 1 lọjọ keji oṣu yii ti mo si ba Gani Adams nibẹ, ka ma parọ mi o ba ọmọkunrin naa ja ṣugbọn awọn iwa rẹ latẹyinwa ati bo ṣe n lo igbesi aye rẹ ko wu mi rara bẹẹ ni ko ba alakalẹ eto temi mu.	Olóyè Olúṣẹ́gun Ọbásanjọ́ ṣàlàyé nínú àtẹ̀jáde náà pé ‘Lóòótó ni mo lọọ ṣàbẹ̀wò sí Olóyè Ayọ̀ Adébánjọ nílé rẹ̀ tó wà ní Lẹ́kkí Phase 1 lọ́jọ́ kejì oṣù yìí tí mo sì bá Gàní Adams níbẹ̀, ká má parọ́ mi ò bá ọmọkùnrin náà jà ṣùgbọ́n àwọn ìwà rẹ̀ látẹ̀yìnwá àti bó ṣe ń lo ìgbésí ayé rẹ̀ kò wù mí rárá bẹ́ẹ̀ ni kò bá àlàkalẹ̀ ètò témi mu.
Ọbasanjọ tẹ siwaju ninu ọrọ rẹ pe, ọdun ti pẹ toun ti kọ jalẹ lati ṣe ipade kan pẹlu Gani koda nigba toun wa lori aleefa gẹgẹ bi Aarẹ orilẹ-ede yii ati lẹyin toun ti fi ipo naa silẹ bi o tilẹ jẹ pe lọpọ igba ni ọkunrin naa maa n kọwe ẹbẹ ranṣẹ lati ri oun ṣugbọn ṣe loun maa n kọ jalẹ.	Ọbásanjọ́ tẹ̀ síwájú nínú ọ̀rọ̀ rẹ̀ pé, ọdún ti pẹ́ tóun ti kọ̀ jálẹ̀ láti ṣe ìpàdé kan pẹ̀lú Gàní kódà nígbà tóun wà lórí àlèéfà gẹ́gẹ́ bí Ààrẹ orílẹ̀-èdè yìí àti lẹ́yìn tóun ti fi ipò náà sílẹ̀ bí ó tilẹ̀ jẹ́ pé lọ́pọ̀ ìgbà ni ọkùnrin náà máa ń kọ̀wé ẹ̀bẹ̀ ránṣẹ́ láti rí òun ṣùgbọ́n ṣe lòun máa ń kọ̀ jálẹ̀.
Aarẹ tẹlẹ naa wa fi kun ọrọ rẹ pe, bi a ba tiẹ ri ẹni toun ṣẹ lọkunrin tabi lobinrin, ori ko nii di iru laelae, oun ko ni i re ibi kan lati pari ẹ bikoṣe ninu ọgba ile oun niluu Abẹokuta.	Àar̀ẹ tẹ́lẹ̀ náà wá fi kún ọ̀rọ̀ rẹ̀ pé, bí a bá tiẹ̀ rí ẹni tóun ṣẹ̀ lọ́kùnrin tàbí lòbìnrin, orí kò níi di ìrù láéláé, òun kò ní í re ibí kan láti parí ẹ̀ bíkòṣe nínú ọgbà ilé òun nílùú Abẹ́òkúta.
Ẹwẹ, iwe iroyin Aṣejere pe Iba Gani Adams lori foonu lati gbọ tẹnu wọn lori ọrọ ti Oloye Ọbasanjọ sọ ṣugbọn ohun ti won ba wa sọ naa ni pe, ko sọrọ.	Ẹ̀wẹ̀, ìwé ìròyìn Àṣejèrè pe Iba Gàní Adams lórí fóònù láti gbọ́ tẹnu wọn lórí ọ̀rọ̀ tí Olóyè Ọbásanjọ́ sọ ṣùgbọ́n ohun tí wón bá wa sọ náà ni pé, kò sọ́rọ̀.
Atolowo ati mẹkunnu ni Reluwee tuntun wa fun  Ọga Reluwee, Jerry Oche	Àtolówó àti mẹ̀kúnnù ni Rélùweè tuntun wà fún – Ọ̀gá Rélùweè, Jerry Oche
Bẹẹ ba deluu oyinbo, kii ṣe ibi tawọn eeyan ti n ṣiṣẹ ni wọn n gbe, eeyan le maa ṣiṣẹ ni Eko ko maa gbe Ilọrin tabi Ọyọ, ṣugbọn awọn to n ṣeru ẹ lọdọ tiwa nibi, nnkan kekere kọ loju wọn n ri, paapaa pẹlu iṣoro sunkẹrẹ-fakẹrẹ to n lọ lọwọ lasiko yii.	Bẹ́ẹ bá dèlùú òyìnbó, kìí ṣe ibi táwọn èèyàn ti ń ṣiṣẹ́ ni wọ́n ń gbé, èèyàn le máa ṣiṣẹ́ ní Èkó kó máa gbé Ìlọrin tàbí Ọ̀yọ́, ṣùgbọ́n àwọn tó ń ṣerú ẹ̀ lọ́dọ́ tiwa níbí, nǹkan kékeré kọ́ lojú wọn ń rí, pàápàá pẹ̀lú ìṣòro súnkẹrẹ-fàkẹrẹ tó ń lọ lọ́wọ́ lásìkò yìí.
Ṣugbọn ibi tileeṣẹ Reluwee wa fẹ ki ọrọ-aje orilẹ-ede yii de niyẹn.	Ṣùgbọ́n ibi tíléeṣẹ́ Rélùweè wà fẹ́ kí ọrọ̀-ajé orílẹ̀-èdè yìí dé nìyẹn.
Ko si yaayan lẹnu nigba ti ọga ileeṣẹ ọhun sọ laipẹ yii pe erongba ileeṣẹ oun ni lati mu kawọn eeyan maa wa lati Abẹokuta waa ṣiṣẹ lEkoo, lati Ibadan maa wa ṣiṣẹ lEkoo ati bẹẹ bẹẹ lọ.	Kò sì yààyàn lẹ́nu nígbà tí ọ̀gá iléeṣẹ́ ọ̀hún sọ láìpẹ́ yìí pé èròǹgbà iléeṣẹ́ òun ni láti mú káwọn èèyàn máa wá láti Abẹ́òkúta wáá ṣiṣẹ́ l’Ékòó, láti Ìbàdàn máa wá ṣiṣẹ́ l’Ekòó àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.
Ohun to si ṣee ṣe ni, nitori irinajo naa ko ju wakati kan lọ, lai si sunkẹrẹ-fakẹrẹ.	Ohun tó sì ṣeé ṣe ni, nítorí ìrìnàjò náà kò ju wákàtí kan lọ, láì sí súnkẹrẹ-fàkẹrẹ.
Kii ṣe bẹẹ nikan ọkunrin naa ni yoo rọrun fawọn agbẹ atawọn alarobọ lati maa ko nnkan oko wọn lati igberiko wa si igbooro ọja waa ta lowo pọọku.	Kìí ṣe bẹ́ẹ̀ nìkan ọkùnrin náà ní yóò rọrùn fáwọn àgbẹ̀ àtàwọn aláróbọ̀ láti máa kó nǹkan oko wọn láti ìgbèríko wá sí ìgbooro ọjà wáá tà lówó pọ́ọ́kú.
Erongba ileeṣẹ yii lo mu ki Aṣejere tẹkọ leti lọ sọdọ ọga ileeṣẹ ọhun, Alagba Jerry Oche, ti wọn n pe ni Lagos Railway District Manager (RDM) lati fọrọwerọ pẹlu wọn lori idagbasoke tuntun to de ba iṣẹ Reluwee ati ohun ti awọn araalu gbọdọ maa reti.	Èròǹgbà iléeṣẹ́ yìí ló mú kí Àṣejèrè tẹkọ̀ létí lọ sọ́dọ̀ ọ̀gá iléeṣẹ́ ọ̀hún, Alágba Jerry Oche, tí wọ́n ń pè ní Lagos Railway District Manager (RDM) láti fọ̀rọ̀wérọ̀ pẹ̀lú wọn lórí ìdàgbàsókè tuntun tó dé bá iṣẹ́ Rélùweè àti ohun tí àwọn aráàlú gbọ́dọ̀ máa retí.
Ohun ti Ogbeni Jerry Oche ba akọroyin wa, SAM.AKINROLE sọ lọfiisi wọn ree.	Ohun tí Ògbéni Jerry Oche bá akọ̀ròyìn wa, SAM.AKÍNRÓLÉ sọ lọ́fíìsì wọn rèé.
Kin ni idi ti ẹ fi pẹ to yii?	Kín ni ìdí tí ẹ fi pẹ́ tó yìí?
Ọdun 1898 nileeṣẹ Reluwee bẹrẹ, ọdun 1998 la ṣe ọgọrun-un ọdun.	Ọdún 1898 niléeṣẹ́ Rélùweè bẹ̀rẹ̀, ọdún 1998 la ṣe ọgọ́rùn-ún ọdún.
Ẹ mọ iye ọdun to da bayii.	Ẹ mọ iye ọdún tó dà báyìí.
Ileeṣẹ Reluwee kii ṣe ẹgbẹ onimọto, NURTW, kii ṣẹgbẹ kan lẹka igbokegbodo ọkọ.	Iléeṣẹ́ Rélùweè kìí ṣe ẹgbẹ́ onímọ́tò, NURTW, kìí ṣẹgbẹ́ kan lẹ́ka ìgbòkègbodò ọkọ̀.
Iṣẹ tiwa ni lati gbe awọn eeyan lati ibusọ kan sibusọ keji, nibi ti oju irin ba si wa ni.	Iṣẹ́ tiwa ni láti gbé àwọn èèyàn láti ibùsọ̀ kan síbùsọ̀ kejì, níbi tí ojú irin bá sì wà ni.
Ibi ti ko ba si oju irin, ẹ o le ri ileeṣẹ Reluwee nibẹ rara.	Ibi tí kò bá sí ojú irin, ẹ ò le rí iléeṣẹ́ Rélùweè níbẹ̀ rárá.
Bii ẹgbẹrun mẹta ataabọ kilomita ni oju irin taa ni lorilẹ-ede yii, oju irin atijọ ni mo n sọ o.	Bíi ẹgbẹ̀rún mẹ́ta àtààbọ̀ kìlómítà ni ojú irin táa ní lórílẹ̀-èdè yìí, ojú irin àtijọ́ ni mo ń sọ o.
Ṣugbọn a ti n ko oju-irin tuntun, iyẹn Reluwee mi-in bayii.	Ṣùgbọ́n a ti ń kó ojú-irin tuntun, ìyẹn Rélúweè mí-ìn báyìí.
Nitori naa, ko rọrun fun ẹni to wa ni Ikoyi tabi Lẹkki tabi Victoria Island lati tete mọ pe Reluwee ṣi n ṣiṣẹ, nitori ko gba adugbo wọn kọja.	Nítorí náà, kò rọrùn fún ẹni tó wà ní Ìkòyí tàbí Lẹ́kkí tàbi Victoria Island láti tètè mọ̀ pé Rélùweè ṣì ń ṣiṣẹ́, nítorí kò gba àdúgbò wọn kọjá.
Ṣugbọn bi ẹ ba beere lọwọ awọn to n gbe Iju, Agbado, Itori titi de Kajọla, wọn a mọ.	Ṣùgbọ́n bí ẹ bá bèèrè lọ́wọ́ àwọn tó ń gbé Ìjú, Àgbàdo, Ìtóri títí dé Kájọlà, wọ́n á mọ̀.
Ọpọlọpọ awọn eeyan ni kii le wa si Eko bi Reluwee ko ba ṣiṣẹ.	Ọ̀pọ̀lọpọ̀ àwọn èèyàn ni kìí le wá sí Èkó bí Rélùweè kò bá ṣiṣẹ́.
Kin ni iyatọ laarin oju irin atijọ ati eyi ti ẹ ṣẹṣẹ n ṣe lọwọ?	Kín ni ìyàtọ̀ láàrín ojú irin àtijọ́ àti èyí tí ẹ ṣẹ̀ṣẹ̀ ń ṣe lọ́wọ́?
Wọn fẹ jura wọn lọ.	Wọ́n fẹ̀ jura wọn lọ.
Awọn ọkọ Reluwee tuntun yẹn ni wọn n lo nilẹ okeere, o gba ero, o ni aye fun awọn ẹru ati ero, bakan naa leeyan tun le ri awọn ẹya ara ọkọ naa, iyẹn paati ra, kii ṣe awọn ọkọ teeyan ko ni le ri paati rẹ ra.	Awọn ọkọ̀ Rélùweè tuntun yẹn ni wọ́n ń lò nílẹ̀ òkèèrè, ó gba èrò, ó ní àyè fún àwọn ẹrù àti èrò, bákan náà lèèyàn tún le rí àwọn ẹ̀yà ara ọkọ̀ náà, ìyẹn páàtì rà, kìí ṣe àwọn ọkọ̀ téèyàn kò ní le rí páàtì rẹ̀ rà.
Awọn tuntun yẹn si tun n sare ju tatijọ lọ.	Àwọn tuntun yẹn sì tún ń sáré ju tàtijọ́ lọ.
Awọn ero meloo lẹ n ko lojumọ?	Àwọn èrò mélòó lẹ ń kó lójúmọ́?
Bo tiẹ jẹ pe a ṣẹṣẹ bẹrẹ iṣẹ pada ni, ṣugbọn ki a too dawọ iṣẹ duro, a n gbe to ẹgbẹrun mẹwaa eeyan lojumọ.	Bó tiẹ̀ jẹ́ pé a ṣẹ̀ṣẹ̀ bẹ̀rẹ̀ iṣẹ́ padà ni, ṣùgbọ́n kí a tóó dáwọ́ iṣẹ́ dúró, a ń gbé tó ẹgbẹ̀rún mẹ́wàá èèyàn lójúmọ́.
Ṣugbọn lọwọ yii, awọn ero taa n ko ko ju bii ẹgbẹrun marun-un si meje lọ, nitori a ti din awọn ọkọ taa n lo ku.	Ṣùgbọ́n lọ́wọ́ yìí, àwọn èrò táa ń kó kò ju bíi ẹgbẹ̀rún márùn-ún sí méje lọ, nítorí a ti dín àwọn ọkọ̀ táa ń lò kù.
Laye atijọ awọn obi wa to n ṣowo maa n lọ lati ọdọ wa nibi, wọn a ko ọja lọ soke ọya lọọ ṣowo kara-kata, njẹ iru ẹ ṣi n ṣẹlẹ nileeṣẹ Reluwee?	Láyé àtijọ́ àwọn òbí wa tó ń ṣòwò máa ń lọ láti ọ̀dọ̀ wa níbí, wọ́n á kó ọjà lọ sókè ọya lọọ ṣòwò kárà-kátà, ǹjẹ́ irú ẹ̀ ṣì ń ṣẹlẹ̀ níléeṣẹ́ Rélùweè?
Daadaa, lọjọ Fraide to kọja, ọkan ninu awọn Reluwee wa gbera lọ si Kano, bi mo ṣe n ba yin sọrọ lọwọ yii, o ṣẹṣẹ gbera niluu Jẹbba ni, o n pada bọ lEkoo niyẹn, Bo ba si tun di ọjọ Fraide yoo tun pada lọ si Kano, Ọsọọsẹ lo maa n lọ bọ.	Dáadáa, lọ́jọ́ Fráìde tó kọjá, ọ̀kan nínú àwọn Rélùweè wa gbéra lọ sí Kánò, bí mo ṣe ń bá yin sọ̀rọ̀ lọ́wọ́ yìí, ó ṣẹ́ṣẹ̀ gbéra nílùú Jẹ́bbà ni, ó ń padà bọ̀ l’Ékòó nìyẹn, Bó bá sì tún di ọjọ́ Fraide yóò tún padà lọ sí Kánò, Ọ̀sọ̀ọ̀sẹ̀ ló máa ń lọ bọ̀.
bo ba si maa lọ bẹẹ yẹn; o ma gba Abẹokuta, Ibadan, Iwo, Oṣogbo, Ọffa, Ilọrin, Jẹbba, Mọkwa, Ilọrin, Kutuwenji.	bó bá sì máa lọ bẹ́ẹ̀ yẹn; ó má gba Abẹ́òkúta, Ìbàdàn, Ìwó, Òṣogbo, Ọ̀ffà, Ìlọrin, Jẹ́bbà, Mọ́kwá, Ìlọrin, Kútúwenji.
Ẹyin naa ranti awọn ilu taa fi n ṣe yẹyẹ laye atijọ, awọn bii Kutuwenji, a n gbe ero; a si tun n gbe ẹru.	Ẹ̀yin náà rántí àwọn ìlú táa fi ń ṣe yẹ̀yẹ́ láyé àtijọ́, àwọn bíi Kútúwenji, a ń gbé èrò; a sì tún ń gbé ẹrù.
Awọn igboro Eko ati itosi nkọ?	Àwọn ìgboro Èkó àti itòsí ǹkọ̀?
Bẹẹ ni, lọwọ yii, Reluwee wa n na Eko si Ibadan, koda ọfẹ la n na eyi lọwọ yii, nitori a fi n wo bi awọn ọkọ oju-irin wa ṣe n ṣiṣẹ si, ko too di pe a tun maa bẹrẹ iṣẹ pada.	Bẹ́ẹ̀ ni, lọ́wọ́ yíí, Rélùweè wa ń ná Èkó sí Ìbàdàn, kódà ọ̀fẹ́ la ń ná èyí lọ́wọ́ yìí, nítorí a fi ń wo bí àwọn ọkọ̀ ojú-irin wa ṣe ń ṣiṣẹ́ sí, kó tóó di pé a tún máa bẹ̀rẹ̀ iṣẹ́ padà.
Ṣe ẹ ranti pe mo sọ fun yin pe a o tii bẹrẹ iṣẹ ni pẹrẹu, a kan si n dan awọn ọkọ yẹn wo loju irin, ka fi mọ bi wọn ṣe n ṣiṣẹ si ni.	Ṣé ẹ rántí pé mo sọ fún yín pé a ò tíì bẹ̀rẹ̀ iṣẹ́ ní pẹrẹu, a kàn sì ń dán àwọn ọkọ̀ yẹn wò lójú irin, ká fi mọ bí wọ́n ṣe ń ṣiṣẹ́ sí ni.
Fun iṣẹju meloo wa ni Irinajo Eko si Ibadan yẹn?	Fún ìṣẹ́jú mélòó wà ni Ìrìnàjò Èkó sí Ìbàdàn yẹn?
Ko to wakati meji o, ṣe ẹ mọ pe ko si go siloo, ko si wahala sunkẹrẹ fakẹrẹ, ọkọ yẹn si n sare ju ti tẹlẹ lọ.	Kò tó wákàtí méjì o, ṣé ẹ mọ̀ pé kò sí gó síloò, kò sí wàhálà súnkẹrẹ fàkẹrẹ, ọkọ̀ yẹn sì ń sáré ju ti tẹ́lẹ̀ lọ.
Mo sọ fun yin ṣaaju pe ọkọ taa n lo lọwọ yii, ti wọn n pe ni Standard Gauge, o n sare ju ti tẹlẹ lọ, ti wọn n pe ni Narrow Gauge lede oyinbo.	Mo sọ fún yín ṣáájú pé ọkọ̀ táa ń lò lọ́wọ́ yìí, tí wọ́n ń pè ní Standard Gauge, ó ń sáre ju ti tẹ́lẹ̀ lọ, tí wọ́n ń pè ní Narrow Gauge lédè òyìnbó.
Nigba to ba maa fi di inu oṣu kẹrin, iṣẹ maa bẹrẹ ni pẹrẹu.	Nígbà tó bá máa fi di inú oṣù kẹrin, iṣẹ́ máa bẹ̀rẹ̀ ní pẹrẹu.
Ẹ n sọrọ nipa iyatọ to wa laarin ileeṣẹ Reluwee ati idi tileeṣẹ ọhun fi pẹ to bẹẹ lẹẹkan, ẹ o ti i pari ọrọ naa.	Ẹ ń sọ̀rọ̀ nípa ìyàtọ̀ tó wà láàrín iléeṣẹ́ Rélùweè àti ìdí tíléeṣẹ́ ọ̀hún fi pẹ́ tó bẹ́ẹ̀ lẹ́ẹ̀kan, ẹ ò tí ì parí ọ̀rọ̀ náà.
Ohun ti mo n gbiyanju ati sọ ni pe, idi tawọn eeyan fi ri ileese Reluwee bi ileeṣẹ awọn arugbo ni pe ileeṣẹ ijọba ni, awọn to si n ṣiṣẹ nibẹ, oṣiṣẹ ijọba ni wọn, o digba tiye ọdun ba pe ọdun marundinlogoji ki wọn too fẹyinti nibẹ.	Ohun tí mo ń gbìyànjú àti sọ ni pé, ìdí táwọn èèyàn fi rí iléesé Rélùweè bí iléeṣẹ́ àwọn arúgbó ni pé iléeṣẹ́ ìjọba ni, àwọn tó sì ń ṣiṣẹ́ níbẹ̀, òṣìṣẹ́ ìjọba ni wọ́n, ó dìgbà tíye ọdún bá pé ọdún márùndínlógójì kí wọ́n tóó fẹ̀yìntì níbẹ̀.
Ileeṣẹ naa ti le lọgọrun uu ọdun, ko ṣee ṣe fun yin lati tun ri awọn arugbo aye atijọ yẹn nibẹ, nitori wọn ti fẹyinti.	Iléeṣẹ́ náà ti lé lọ́gọ́rùn úu ọdún, kò ṣeé ṣe fún yín láti tún rí àwọn arúgbó ayé àtijọ́ yẹn níbẹ̀, nítorí wọ́n ti fẹ̀yìntì.
Bakan naa, ijọba ko mu ọrọ ileeṣẹ Reluwee kere mọ o, won ti ri i pe gbọọrọgbọọrọ ni Reluwee fi ju awọn ẹka ọkọ yooku lọ.	Bákan náà, ìjọba kò mú ọ̀rọ̀ iléeṣẹ́ Rélùweè kéré mọ́ o, wón ti rí i pé gbọ̀ọ̀rọ̀gbọọrọ ni Rélùweè fi ju àwọn ẹ̀ka ọkọ̀ yóókù lọ.
Lọna wo?	Lọ́nà wo?
Ko buru, eeyan meloo ni bọọsi n ko lẹẹkan ṣoṣo?	Kò burú, èèyàn mèlòó ni bọ́ọ̀sì ń kó lẹ́ẹ̀kan ṣoṣo?
Boya mejidinlogun tabi mẹrinlelogun.	Bóýa méjìdínlógún tàbí mẹ́rìnlélógún.
Bo jẹ moluẹ ni nkọ?	Bó jẹ́ móluẹ̀ ni ńkọ́?
Ka sọ pe ọgọrun eeyan leekan ṣoṣo.	Ká sọ pé ọgọ́rùn èèyàn léèkan ṣoṣo.
Ṣugbọn, ọkan ninu awọn ọkọ taa so mọra wọn loju irin yẹn yoo gbe eeya mejilelaaadọrun (92) lẹẹkanṣoṣo, gbogbo awọn ọkọ taa so mọra loju irin yẹn si jẹ mẹrinla.	Ṣùgbọ́n, ọ̀kan nínú àwọn ọkọ̀ táa so mọ́ra wọn lójú irin yẹn yóò gbé èèyá̀ méjìléláàádọ́rùn (92) lẹ́ẹ̀kanṣoṣo, gbogbo àwọn ọkọ̀ táa so mọ́ra lójú irin yẹn sì jẹ́ mẹ́rìnlá.
Baa ba wa ṣe iṣiro rẹ nkọ, iyẹn ti le lẹgbẹrun kan, koda tẹẹ ba ṣe iṣiro yẹn daadaa, o le lẹgbẹfa eeyan taa n gbe lẹẹkan ṣoṣo.	Báa bá wá ṣe ìṣirò rẹ̀ ńkọ́, ìyẹn tí lé lẹ́gbẹ̀rún kan, kódà tẹ́ẹ bá ṣe ìṣirò yẹn dáadáa, ó lé lẹ́gbẹ̀fà èèyàn táa ń gbé lẹ́ẹ̀kan ṣoṣo.
Njẹ iyẹn ko ju ero ti moluẹ n gbe lọ?	Ǹjẹ́ ìyẹn kò ju èrò ti móluẹ̀ ń gbé lọ?
Itumọ ẹ ni pe bii moluẹ mẹwaa laa n ko kuro loju titi lẹẹkanṣoṣo.	Ìtumọ̀ ẹ̀ ni pé bíi móluẹ̀ mẹ́wàá laa ń kó kúrò lójú títì lẹ́ẹ̀kanṣoṣo.
Ẹ jẹ ka tun wo awọn to n duro ninu ọkọ o.	Ẹ jẹ́ ká tún wo àwọn tó ń dúró nínú ọkọ̀ o.
Ọpọ igba gan an lo jẹ pe awọn eeyan to n duro ju awọn to jokoo ninu Reluwee lọ.	Ọ̀pọ̀ ìgbà gan an ló jẹ́ pé àwọn èèyàn tó ń dúró ju àwọn tó jókòó nínú Rélùweè lọ.
Ohun to mu ko yatọ sawọn ẹka ọkọ yooku niyẹn.	Ohun tó mú kó yàtọ̀ sáwọn ẹ̀ka ọkọ̀ yóókù nìyẹn.
Bi ijọba ipinlẹ ba le kowo le e lori, iyatọ pupọ lo maa de ba eto igbokegbodo ọkọ lorilẹ-ede yii.	Bí ìjọba ìpínlẹ̀ bá le kówó lé e lórí, ìyàtọ̀ púpọ̀ ló máa dé bá ètò ìgbòkègbodò ọkọ̀ lórílẹ̀-edè yìí.
Ẹ jẹ ka gboriyin fun ijọba Eko ti wọn ti bẹrẹ eyi ti wọn n ṣe lọwọ lati Okokomaiko si Eko, ẹyin naa ẹ wo awọn inira ti ọkọ yẹn maa mu kuro lọdọ awọn araalu ti yoo maa lo o, nigba to ba bẹrẹ iṣẹ.	Ẹ jẹ́ ká gbóríyìn fún ìjọba Èkó tí wọ́n ti bẹ̀rẹ̀ èyí tí wọ́n ń ṣe lọ́wọ́ láti Òkòkòmaikò sí Èkó, ẹ̀yin náà ẹ wo àwọn ìnira tí ọkọ̀ yẹn máa mú kúrò lọ́dọ̀ àwọn aráàlú tí yóò máa lò ó, nígbà tó bá bẹ̀rẹ̀ iṣẹ́.
Ẹni to n gbe Agbado, to n lọọ ṣiṣẹ ni VI, njẹ ko mu ọpọlọ dani pe ki n gbe ọkọ mi silẹ ki n wọ ọkọ oju irin.	Ẹni tó ń gbé Àgbàdo, tó ń lọọ ṣiṣẹ́ ní VI, ǹjẹ́ kò mú ọpọlọ dání pé kí n gbé ọk̀ọ mi sílẹ̀ kí n wọ ọkọ̀ ojú irin.
Ibi taa n gbe iṣẹ Reluwee lọ lorilẹ-ede yii niyẹn, iyẹn ni pe Reluwee ti olowo ati mẹkunnu le wọ, ohun to jẹ wa logun niyẹn.	Ibi taa ń gbé iṣẹ́ Rélùweè lọ lórílẹ̀-èdè yìí nìyẹn, ìyẹn ni pé Rélùweè tí olówó àti mẹ̀kúnnù le wọ̀, ohun tó jẹ wá lógún nìyẹn.
Iyẹn lo fẹ ki n beere pe iru awọn eeyan wo le n reti ki wọn waa wọ awọn Reluwee yin, njẹ aye wa fun awọn oniṣowo kereje-kereje wa?	Ìyẹn ló fẹ́ kí n bèèrè pé irú àwọn èèyàn wo le ń retí kí wọ́n wáá wọ àwọn Rélùweè yín, ǹjẹ́ àyé wà fún àwọn oníṣòwò kéréje-kéréje wa?
Ko sẹni ti ko si fun, o wa fun olowo, o wa fun mẹkunnu, koda bẹẹ ba fẹẹ ṣepade nileeṣẹ yin, ti ẹ si fẹẹ rinrinajo, ẹ le ko ara yin wa, ki ẹ maa rinrinajo yin lọ, ki ẹ si tun maa ṣepade yin lọ.	Kò sẹ́ni tí kò sí fún, ó wà fún olówó, ó wà fún mẹ̀kúnnù, kódà bẹẹ bá fẹ́ẹ́ ṣèpàdé níléeṣẹ́ yín, tí ẹ sì fẹ́ẹ́ rìnrìnàjò, ẹ lè kó ara yín wá, kí ẹ máa rìnrìnàjò yín lọ, kí ẹ sì tún máa ṣèpàdé yín lọ.
Tawọn olowo nla naa wa.	Táwọn olówó ńlá náà wà.
